County,Count
Greenville,0.03787195500195991
Spartanburg,0.045808345808040926
Orangeburg,0.05781081177350605
Hampton,0.0668606217337428
Chesterfield,0.0479975966538026
Anderson,0.04400691151493732
Florence,0.24149453884823324
York,0.0203339359778794
Edgefield,0.040807576879604006
Kershaw,0.14164487867529013
Berkeley,0.016705748256555047
Dillon,0.0669800650360526
Barnwell,0.06513186653067171
Union,0.07370430186463074
Horry,0.028239832036669334
Aiken,0.03354106440453059
Allendale,0.0602064933449434
Fairfield,0.06859843421806378
Colleton,0.0503574759092322
Lexington,0.028034871815803886
Newberry,0.05474694451072404
Lancaster,0.03211964672554574
Charleston,0.0431197717001237
Clarendon,0.05586950937580272
Pickens,0.039108398526681076
Saluda,0.04469303361255434
Beaufort,0.02438046783563225
Richland,0.032370772827870924
Laurens,0.25340914138497755
Marion,0.07045197546516807
Sumter,0.04856190079199667
Georgetown,0.04389312977099236
Dorchester,0.11525318806487557
Williamsburg,0.5539869786630568
Jasper,0.028585321801951998
Darlington,0.05471743104681663
Marlboro,0.0550118123523456
Cherokee,0.19547815568521418
Abbeville,0.05478493517184606
Lee,0.07119956445466094
Chester,0.049761565615903884
Calhoun,0.05078263333097245
Oconee,0.04018726067653008
Greenwood,0.05332295136335453
McCormick,0.08030652949821541
Bamberg,0.06866501389827961
