County,HighTemp
Clarendon,67.04511599511599
Richland,62.14627985974139
Bamberg,66.23397435897436
Lexington,62.79220085470085
Kershaw,57.43681318681319
Lee,66.3019943019943
Chester,61.418582923463624
Fairfield,64.27478632478633
Orangeburg,66.15613014436542
Calhoun,66.85470085470087
Union,64.68940170940172
Newberry,62.920405982905976
Sumter,60.01317663817664
Williamsburg,67.17277167277167
Lancaster,61.176334581703344
Darlington,65.43233618233619
Colleton,67.68531468531468
Chesterfield,62.97218785408025
Aiken,67.61048789173788
Florence,62.24038461538462
Saluda,66.78098290598291
Spartanburg,63.24881916329285
Laurens,55.732193732193736
Cherokee,63.85416666666667
Charleston,63.95805860805859
Berkeley,61.239163614163616
Dorchester,65.5909090909091
Georgetown,66.0849358974359
Horry,63.60592185592187
Marlboro,64.60023136709432
Marion,66.10555555555554
Dillon,64.0052266473768
Greenville,61.80904558404557
Abbeville,63.699572649572644
Anderson,61.08547008547009
Pickens,63.40187376725838
Oconee,63.31031969275258
Greenwood,61.26774961892735
York,51.25573392530676
Allendale,65.2465811965812
Barnwell,67.41709401709402
Edgefield,67.65683760683761
McCormick,62.95940170940171
Beaufort,48.478632478632484
Hampton,67.26512163050624
Jasper,69.24615384615385
